gm,game_date,home_away,opp,result,r,ra,record,rank,gb,time,time_minutes,day_night,attendance,year,wins,losses,win_pct,game_day
147,1975-09-11,home,NYY,L,2,10,62-85,5,-24.5,2:10:00,130,N,7352,1975,62,85,0.42,Thursday
146,1975-09-10,home,NYY,L,2,8,62-84,5,-23.5,2:24:00,144,N,6944,1975,62,84,0.42,Wednesday
145,1975-09-09,home,BAL,L,1,9,62-83,5,-23.0,2:37:00,157,N,4659,1975,62,83,0.43,Tuesday
144,1975-09-08,home,BAL,L,2,6,62-82,5,-23.0,2:18:00,138,N,4271,1975,62,82,0.43,Monday
143,1975-09-07,home,BOS,W,7,3,62-81,5,-23.0,2:25:00,145,D,11904,1975,62,81,0.43,Sunday
142,1975-09-07,home,BOS,L,3,6,61-81,5,-23.0,2:38:00,158,D,0,1975,61,81,0.43,Sunday
141,1975-09-06,home,BOS,L,6,20,61-80,5,-23.0,2:57:00,177,D,11992,1975,61,80,0.43,Saturday
140,1975-09-05,home,BOS,W,4,2,61-79,5,-22.0,2:30:00,150,N,11864,1975,61,79,0.44,Friday
139,1975-09-04,home,CLE,L,5,10,60-79,5,-23.0,2:50:00,170,N,3810,1975,60,79,0.43,Thursday
138,1975-09-03,home,CLE,L,3,11,60-78,5,-22.0,2:41:00,161,N,4177,1975,60,78,0.43,Wednesday
137,1975-09-02,home,DET,W,6,5,60-77,5,-21.0,2:26:00,146,N,6263,1975,60,77,0.44,Tuesday
136,1975-09-01,home,DET,L,4,5,59-77,5,-21.0,2:38:00,158,N,7584,1975,59,77,0.43,Monday
135,1975-08-31,home,TEX,W,4,1,59-76,5,-21.0,2:25:00,145,N,15037,1975,59,76,0.44,Sunday
134,1975-08-30,home,TEX,L,3,8,58-76,5,-22.0,2:40:00,160,N,14962,1975,58,76,0.43,Saturday
133,1975-08-29,home,TEX,W,13,1,58-75,5,-22.0,2:43:00,163,N,13496,1975,58,75,0.44,Friday
132,1975-08-27,home,MIN,L,0,1,57-75,5,-22.0,3:01:00,181,N,6261,1975,57,75,0.43,Wednesday
131,1975-08-26,home,MIN,L,1,2,57-74,5,-21.0,2:34:00,154,N,9941,1975,57,74,0.44,Tuesday
130,1975-08-25,home,MIN,L,3,6,57-73,5,-21.0,2:58:00,178,N,7779,1975,57,73,0.44,Monday
129,1975-08-24,home,OAK,W,7,6,57-72,5,-20.5,2:56:00,176,D,17231,1975,57,72,0.44,Sunday
128,1975-08-23,home,OAK,L,3,9,56-72,5,-20.5,2:35:00,155,N,21036,1975,56,72,0.44,Saturday
127,1975-08-23,home,OAK,L,3,6,56-71,5,-20.5,3:02:00,182,N,0,1975,56,71,0.44,Saturday
126,1975-08-21,home,OAK,L,2,5,56-70,5,-19.5,2:39:00,159,N,13346,1975,56,70,0.44,Thursday
125,1975-08-20,home,CAL,L,1,6,56-69,5,-19.0,2:16:00,136,D,8398,1975,56,69,0.45,Wednesday
124,1975-08-19,home,CAL,L,4,5,56-68,5,-19.0,4:02:00,242,N,8525,1975,56,68,0.45,Tuesday
123,1975-08-18,home,CAL,L,4,5,56-67,5,-18.0,2:23:00,143,N,18320,1975,56,67,0.46,Monday
122,1975-08-17,home,OAK,L,1,3,56-66,4,-17.5,2:26:00,146,D,9436,1975,56,66,0.46,Sunday
121,1975-08-16,home,OAK,L,1,2,56-65,4,-17.0,2:32:00,152,D,11104,1975,56,65,0.46,Saturday
120,1975-08-15,home,OAK,W,8,4,56-64,4,-16.0,2:19:00,139,N,7279,1975,56,64,0.47,Friday
119,1975-08-13,home,MIN,L,2,5,55-64,4,-16.5,2:29:00,149,N,12669,1975,55,64,0.46,Wednesday
118,1975-08-12,home,MIN,W,7,4,55-63,4,-16.5,3:02:00,182,N,14023,1975,55,63,0.47,Tuesday
117,1975-08-11,home,MIN,L,7,8,54-63,4,-16.5,2:50:00,170,N,11238,1975,54,63,0.46,Monday
116,1975-08-10,home,TEX,W,7,4,54-62,4,-16.5,3:31:00,211,D,13893,1975,54,62,0.47,Sunday
115,1975-08-09,home,TEX,L,2,4,53-62,4,-16.5,2:22:00,142,D,17365,1975,53,62,0.46,Saturday
114,1975-08-08,home,TEX,L,4,6,53-61,4,-15.5,3:05:00,185,N,19894,1975,53,61,0.46,Friday
113,1975-08-07,home,BOS,L,2,4,53-60,4,-15.5,2:22:00,142,D,24817,1975,53,60,0.47,Thursday
112,1975-08-06,home,BOS,L,2,5,53-59,4,-14.5,2:49:00,169,N,16556,1975,53,59,0.47,Wednesday
111,1975-08-05,home,NYY,L,3,4,53-58,4,-13.5,2:11:00,131,N,18898,1975,53,58,0.48,Tuesday
110,1975-08-04,home,NYY,L,1,2,53-57,4,-13.5,2:29:00,149,N,13544,1975,53,57,0.48,Monday
109,1975-08-03,home,BAL,W,4,1,53-56,4,-13.5,2:14:00,134,D,11319,1975,53,56,0.49,Sunday
108,1975-08-02,home,BAL,L,1,6,52-56,4,-13.5,2:20:00,140,N,23319,1975,52,56,0.48,Saturday
107,1975-08-01,home,BAL,L,1,3,52-55,4,-12.5,2:07:00,127,N,19041,1975,52,55,0.49,Friday
106,1975-08-01,home,BAL,L,4,6,52-54,4,-12.5,2:45:00,165,N,0,1975,52,54,0.49,Friday
105,1975-07-30,home,BOS,W,6,2,52-53,4,-10.0,2:12:00,132,D,33763,1975,52,53,0.5,Wednesday
104,1975-07-29,home,BOS,W,4,0,51-53,4,-11.0,2:36:00,156,N,33506,1975,51,53,0.49,Tuesday
103,1975-07-28,home,BOS,L,6,7,50-53,4,-12.0,3:19:00,199,N,33606,1975,50,53,0.49,Monday
102,1975-07-27,home,BAL,L,6,11,50-52,4,-11.0,3:37:00,217,D,26705,1975,50,52,0.49,Sunday
101,1975-07-27,home,BAL,L,4,7,50-51,4,-11.0,3:07:00,187,D,0,1975,50,51,0.5,Sunday
100,1975-07-26,home,BAL,L,0,4,50-50,4,-9.0,2:30:00,150,D,26578,1975,50,50,0.5,Saturday
99,1975-07-25,home,BAL,W,5,2,50-49,3,-8.0,2:25:00,145,N,30495,1975,50,49,0.51,Friday
98,1975-07-24,home,BAL,L,7,10,49-49,4,-9.0,3:15:00,195,N,12162,1975,49,49,0.5,Thursday
97,1975-07-23,home,KCR,L,1,4,49-48,3,-8.0,2:17:00,137,N,9531,1975,49,48,0.51,Wednesday
95,1975-07-22,home,KCR,L,2,3,48-47,3,-7.0,2:24:00,144,N,0,1975,48,47,0.51,Tuesday
96,1975-07-22,home,KCR,W,6,3,49-47,3,-7.0,2:38:00,158,N,15746,1975,49,47,0.51,Tuesday
94,1975-07-21,home,CHW,W,7,4,48-46,3,-6.5,3:08:00,188,N,11550,1975,48,46,0.51,Monday
93,1975-07-20,home,CHW,L,5,10,47-46,3,-7.5,3:02:00,182,D,24719,1975,47,46,0.51,Sunday
92,1975-07-20,home,CHW,L,2,9,47-45,3,-7.5,2:33:00,153,D,0,1975,47,45,0.51,Sunday
91,1975-07-19,home,CHW,L,2,4,47-44,2,-6.5,2:41:00,161,D,20516,1975,47,44,0.52,Saturday
90,1975-07-18,home,CAL,W,2,0,47-43,2,-5.5,2:04:00,124,N,15937,1975,47,43,0.52,Friday
89,1975-07-17,home,CAL,L,1,6,46-43,3,-5.5,2:51:00,171,D,20738,1975,46,43,0.52,Thursday
88,1975-07-13,home,CHW,L,0,5,46-42,3,-4.5,2:30:00,150,D,27386,1975,46,42,0.52,Sunday
87,1975-07-12,home,CHW,W,5,4,46-41,2,-3.5,2:42:00,162,N,28079,1975,46,41,0.53,Saturday
86,1975-07-11,home,CHW,L,3,5,45-41,2,-3.5,2:57:00,177,N,19655,1975,45,41,0.52,Friday
85,1975-07-09,home,KCR,W,6,4,45-40,2,-2.0,2:29:00,149,N,13367,1975,45,40,0.53,Wednesday
84,1975-07-08,home,KCR,L,1,9,44-40,3,-2.0,2:18:00,138,N,12605,1975,44,40,0.52,Tuesday
83,1975-07-07,home,KCR,W,4,3,44-39,2,-1.0,3:00:00,180,N,12532,1975,44,39,0.53,Monday
81,1975-07-06,home,DET,L,5,7,43-38,2,-1.0,2:44:00,164,D,0,1975,43,38,0.53,Sunday
82,1975-07-06,home,DET,L,2,11,43-39,2,-1.0,2:13:00,133,D,24019,1975,43,39,0.52,Sunday
80,1975-07-05,home,DET,L,2,3,43-37,1,0.0,1:59:00,119,D,14092,1975,43,37,0.54,Saturday
79,1975-07-04,home,DET,L,2,8,43-36,1,0.0,2:28:00,148,N,14259,1975,43,36,0.54,Friday
78,1975-07-03,home,BOS,W,3,2,43-35,1,0.0,3:02:00,182,N,16225,1975,43,35,0.55,Thursday
76,1975-07-02,home,BOS,L,3,6,41-35,2,-1.0,2:53:00,173,N,0,1975,41,35,0.54,Wednesday
77,1975-07-02,home,BOS,W,4,3,42-35,2,-1.0,2:12:00,132,N,34455,1975,42,35,0.55,Wednesday
75,1975-07-01,home,NYY,W,6,3,41-34,2,-1.0,2:28:00,148,N,20938,1975,41,34,0.55,Tuesday
74,1975-06-30,home,NYY,W,5,4,40-34,3,-2.0,1:59:00,119,N,16156,1975,40,34,0.54,Monday
73,1975-06-29,home,CLE,W,4,3,39-34,3,-2.5,2:36:00,156,D,24640,1975,39,34,0.53,Sunday
72,1975-06-28,home,CLE,W,10,6,38-34,3,-3.0,2:48:00,168,N,23360,1975,38,34,0.53,Saturday
71,1975-06-27,home,CLE,L,1,6,37-34,3,-3.5,2:43:00,163,N,17422,1975,37,34,0.52,Friday
70,1975-06-26,home,CLE,L,2,9,37-33,3,-3.0,2:42:00,162,D,15145,1975,37,33,0.53,Thursday
69,1975-06-25,home,DET,W,7,6,37-32,3,-3.0,2:56:00,176,N,12681,1975,37,32,0.54,Wednesday
68,1975-06-24,home,DET,W,4,2,36-32,3,-3.0,2:38:00,158,N,21199,1975,36,32,0.53,Tuesday
67,1975-06-24,home,DET,W,5,0,35-32,3,-3.0,1:59:00,119,N,0,1975,35,32,0.52,Tuesday
66,1975-06-23,home,DET,W,8,4,34-32,3,-4.0,3:07:00,187,N,10945,1975,34,32,0.52,Monday
65,1975-06-22,home,CLE,L,2,3,33-32,3,-5.0,3:28:00,208,D,25229,1975,33,32,0.51,Sunday
64,1975-06-21,home,CLE,W,11,9,33-31,3,-4.5,3:18:00,198,N,11417,1975,33,31,0.52,Saturday
63,1975-06-20,home,CLE,W,6,0,32-31,3,-5.5,2:17:00,137,N,9355,1975,32,31,0.51,Friday
62,1975-06-18,home,NYY,W,5,3,31-31,3,-5.5,2:35:00,155,N,15273,1975,31,31,0.5,Wednesday
61,1975-06-17,home,NYY,L,2,4,30-31,3,-5.5,2:28:00,148,N,19724,1975,30,31,0.49,Tuesday
60,1975-06-17,home,NYY,W,4,3,30-30,3,-5.5,2:20:00,140,N,0,1975,30,30,0.5,Tuesday
59,1975-06-16,home,NYY,L,7,10,29-30,3,-5.0,3:07:00,187,N,10901,1975,29,30,0.49,Monday
57,1975-06-15,home,CAL,L,7,8,28-29,3,-4.0,3:53:00,233,D,0,1975,28,29,0.49,Sunday
58,1975-06-15,home,CAL,W,4,2,29-29,3,-4.0,2:11:00,131,D,23597,1975,29,29,0.5,Sunday
56,1975-06-14,home,CAL,W,6,4,28-28,3,-3.5,2:41:00,161,D,36191,1975,28,28,0.5,Saturday
55,1975-06-13,home,CAL,W,10,2,27-28,3,-3.5,2:26:00,146,N,11442,1975,27,28,0.49,Friday
54,1975-06-12,home,OAK,W,9,7,26-28,3,-4.0,2:47:00,167,N,14243,1975,26,28,0.48,Thursday
53,1975-06-11,home,OAK,L,3,5,25-28,3,-5.0,2:42:00,162,N,15382,1975,25,28,0.47,Wednesday
52,1975-06-10,home,CHW,L,2,9,25-27,3,-4.0,2:42:00,162,N,5541,1975,25,27,0.48,Tuesday
51,1975-06-09,home,CHW,W,1,0,25-26,3,-4.0,2:35:00,155,N,4949,1975,25,26,0.49,Monday
50,1975-06-08,home,CAL,W,4,3,24-26,3,-5.0,2:22:00,142,D,22230,1975,24,26,0.48,Sunday
49,1975-06-07,home,CAL,L,2,5,23-26,4,-6.0,2:27:00,147,N,14212,1975,23,26,0.47,Saturday
48,1975-06-06,home,CAL,L,0,6,23-25,3,-5.0,2:01:00,121,N,29513,1975,23,25,0.48,Friday
47,1975-06-04,home,OAK,L,3,11,23-24,3,-4.0,2:28:00,148,N,3344,1975,23,24,0.49,Wednesday
46,1975-06-03,home,OAK,W,5,4,23-23,2,-3.0,2:36:00,156,N,4129,1975,23,23,0.5,Tuesday
45,1975-06-02,home,OAK,W,6,3,22-23,2,-3.0,2:13:00,133,N,28235,1975,22,23,0.49,Monday
44,1975-06-01,home,KCR,L,5,11,21-23,2,-4.0,2:33:00,153,D,29759,1975,21,23,0.48,Sunday
43,1975-06-01,home,KCR,L,6,13,21-22,2,-4.0,3:28:00,208,D,0,1975,21,22,0.49,Sunday
42,1975-05-31,home,KCR,L,5,7,21-21,2,-2.5,2:29:00,149,D,15949,1975,21,21,0.5,Saturday
41,1975-05-28,home,CHW,L,3,9,21-20,2,-2.0,2:51:00,171,N,9971,1975,21,20,0.51,Wednesday
40,1975-05-27,home,CHW,W,9,8,21-19,2,-1.0,2:33:00,153,N,12066,1975,21,19,0.52,Tuesday
39,1975-05-26,home,CHW,L,2,4,20-19,2,-1.5,2:17:00,137,D,16343,1975,20,19,0.51,Monday
38,1975-05-25,home,MIN,L,2,7,20-18,2,-0.5,2:35:00,155,D,46782,1975,20,18,0.53,Sunday
37,1975-05-24,home,MIN,L,2,3,20-17,2,-0.5,2:38:00,158,N,22880,1975,20,17,0.54,Saturday
36,1975-05-23,home,MIN,L,1,2,20-16,1,0.5,2:08:00,128,N,13841,1975,20,16,0.56,Friday
35,1975-05-22,home,TEX,L,0,6,20-15,1,1.5,2:23:00,143,D,17808,1975,20,15,0.57,Thursday
34,1975-05-21,home,TEX,L,4,5,20-14,1,1.5,2:49:00,169,N,12196,1975,20,14,0.59,Wednesday
33,1975-05-20,home,TEX,W,7,6,20-13,1,2.5,2:49:00,169,N,13971,1975,20,13,0.61,Tuesday
32,1975-05-18,home,MIN,L,0,6,19-13,1,3.0,2:17:00,137,D,12608,1975,19,13,0.59,Sunday
31,1975-05-17,home,MIN,L,7,8,19-12,1,4.0,2:44:00,164,D,12300,1975,19,12,0.61,Saturday
30,1975-05-16,home,MIN,W,3,1,19-11,1,4.0,2:21:00,141,N,10026,1975,19,11,0.63,Friday
29,1975-05-15,home,TEX,W,8,5,18-11,1,3.0,2:36:00,156,N,22823,1975,18,11,0.62,Thursday
28,1975-05-14,home,TEX,W,3,2,17-11,1,2.0,4:12:00,252,N,12090,1975,17,11,0.61,Wednesday
27,1975-05-13,home,TEX,L,0,5,16-11,1,1.5,1:10:00,70,N,18696,1975,16,11,0.59,Tuesday
26,1975-05-11,home,KCR,L,0,4,16-10,1,1.0,2:18:00,138,D,11163,1975,16,10,0.62,Sunday
25,1975-05-10,home,KCR,W,3,0,16-9,1,2.0,2:12:00,132,N,16425,1975,16,9,0.64,Saturday
24,1975-05-09,home,KCR,W,7,1,15-9,1,1.0,2:27:00,147,N,14553,1975,15,9,0.62,Friday
23,1975-05-08,home,DET,L,4,6,14-9,1,1.0,2:24:00,144,N,10220,1975,14,9,0.61,Thursday
22,1975-05-07,home,DET,W,7,5,14-8,1,1.5,2:34:00,154,N,13610,1975,14,8,0.64,Wednesday
21,1975-05-06,home,DET,L,2,4,13-8,1,1.0,2:13:00,133,N,11035,1975,13,8,0.62,Tuesday
20,1975-05-04,home,NYY,W,11,4,13-7,1,2.0,2:55:00,175,D,34608,1975,13,7,0.65,Sunday
19,1975-05-03,home,NYY,W,4,3,12-7,1,1.5,2:57:00,177,D,9454,1975,12,7,0.63,Saturday
18,1975-05-02,home,NYY,W,4,2,11-7,1,0.5,2:02:00,122,N,14838,1975,11,7,0.61,Friday
17,1975-05-01,home,DET,W,17,3,10-7,1,0.0,2:54:00,174,D,8395,1975,10,7,0.59,Thursday
16,1975-04-30,home,DET,W,6,2,9-7,2,-1.0,2:20:00,140,N,6075,1975,9,7,0.56,Wednesday
15,1975-04-27,home,NYY,L,1,10,8-7,2,-1.0,2:01:00,121,D,41493,1975,8,7,0.53,Sunday
14,1975-04-27,home,NYY,W,7,0,8-6,2,-1.0,2:31:00,151,D,0,1975,8,6,0.57,Sunday
13,1975-04-26,home,NYY,L,1,10,7-6,2,-0.5,2:31:00,151,D,11767,1975,7,6,0.54,Saturday
12,1975-04-23,home,BAL,W,8,5,7-5,1,0.0,2:44:00,164,N,7815,1975,7,5,0.58,Wednesday
11,1975-04-22,home,BAL,L,0,1,6-5,1,0.0,2:27:00,147,D,7635,1975,6,5,0.55,Tuesday
10,1975-04-20,home,CLE,L,4,7,6-4,2,-0.5,2:53:00,173,D,9464,1975,6,4,0.6,Sunday
9,1975-04-19,home,CLE,W,3,0,6-3,1,0.5,1:57:00,117,D,21977,1975,6,3,0.67,Saturday
8,1975-04-18,home,CLE,W,5,1,5-3,1,0.0,2:28:00,148,D,8812,1975,5,3,0.62,Friday
7,1975-04-16,home,BAL,L,0,2,4-3,2,-1.0,2:07:00,127,N,7583,1975,4,3,0.57,Wednesday
6,1975-04-15,home,BAL,W,7,1,4-2,1,0.0,2:24:00,144,N,6706,1975,4,2,0.67,Tuesday
5,1975-04-13,home,CLE,L,1,3,3-2,1,0.0,2:32:00,152,D,22459,1975,3,2,0.6,Sunday
4,1975-04-12,home,CLE,W,6,5,3-1,1,0.0,3:08:00,188,D,11515,1975,3,1,0.75,Saturday
3,1975-04-11,home,CLE,W,6,2,2-1,1,0.0,2:10:00,130,D,48160,1975,2,1,0.67,Friday
2,1975-04-09,home,BOS,W,7,4,1-1,2,-0.5,2:31:00,151,D,7643,1975,1,1,0.5,Wednesday
1,1975-04-08,home,BOS,L,2,5,0-1,5,-1.0,2:24:00,144,D,34055,1975,0,1,0.0,Tuesday
162,1974-10-02,home,NYY,L,1,2,76-86,5,-15.0,2:12:00,132,D,3694,1974,76,86,0.47,Wednesday
161,1974-10-01,home,NYY,W,3,2,76-85,4,-14.0,2:33:00,153,N,4155,1974,76,85,0.47,Tuesday
160,1974-09-29,home,BAL,L,3,4,75-85,5,-13.5,3:07:00,187,D,20456,1974,75,85,0.47,Sunday
159,1974-09-28,home,BAL,L,1,7,75-84,5,-12.5,2:28:00,148,N,12093,1974,75,84,0.47,Saturday
158,1974-09-27,home,BAL,L,0,1,75-83,5,-11.5,4:28:00,268,N,17695,1974,75,83,0.47,Friday
157,1974-09-25,home,CLE,L,3,8,75-82,5,-10.5,2:36:00,156,N,2068,1974,75,82,0.48,Wednesday
156,1974-09-24,home,CLE,W,4,3,75-81,4,-9.5,3:04:00,184,N,1775,1974,75,81,0.48,Tuesday
154,1974-09-23,home,CLE,W,6,2,74-80,5,-10.5,2:04:00,124,N,0,1974,74,80,0.48,Monday
155,1974-09-23,home,CLE,L,4,7,74-81,5,-10.5,2:38:00,158,N,2185,1974,74,81,0.48,Monday
153,1974-09-22,home,DET,L,5,6,73-80,5,-10.5,2:39:00,159,D,5126,1974,73,80,0.48,Sunday
152,1974-09-21,home,DET,W,6,2,73-79,5,-9.5,1:55:00,115,D,6714,1974,73,79,0.48,Saturday
151,1974-09-20,home,DET,L,5,8,72-79,5,-9.5,2:41:00,161,N,7249,1974,72,79,0.48,Friday
150,1974-09-18,home,CLE,L,3,6,72-78,5,-8.5,2:29:00,149,N,4331,1974,72,78,0.48,Wednesday
149,1974-09-17,home,CLE,W,3,2,72-77,5,-8.5,1:53:00,113,N,4451,1974,72,77,0.48,Tuesday
148,1974-09-15,home,BOS,W,9,5,71-77,5,-9.5,2:30:00,150,D,7313,1974,71,77,0.48,Sunday
147,1974-09-14,home,BOS,W,3,1,70-77,5,-9.5,2:01:00,121,D,8807,1974,70,77,0.48,Saturday
146,1974-09-13,home,BOS,L,5,8,69-77,5,-9.5,2:59:00,179,N,6186,1974,69,77,0.47,Friday
145,1974-09-12,home,DET,L,7,9,69-76,5,-9.5,2:43:00,163,N,5806,1974,69,76,0.48,Thursday
144,1974-09-11,home,DET,W,3,0,69-75,5,-8.5,2:11:00,131,N,5896,1974,69,75,0.48,Wednesday
143,1974-09-10,home,BAL,W,6,5,68-75,5,-9.0,2:44:00,164,N,5718,1974,68,75,0.48,Tuesday
142,1974-09-09,home,BAL,L,5,6,67-75,5,-9.0,3:11:00,191,N,5268,1974,67,75,0.47,Monday
141,1974-09-08,home,BOS,L,6,8,67-74,5,-8.0,2:50:00,170,D,25531,1974,67,74,0.48,Sunday
140,1974-09-07,home,BOS,L,3,4,67-73,5,-8.0,2:59:00,179,D,16553,1974,67,73,0.48,Saturday
139,1974-09-06,home,BOS,W,2,0,67-72,5,-7.5,2:24:00,144,N,19257,1974,67,72,0.48,Friday
138,1974-09-05,home,BOS,W,4,3,66-72,5,-7.5,2:44:00,164,N,14592,1974,66,72,0.48,Thursday
137,1974-09-04,home,NYY,L,0,3,65-72,5,-8.0,1:55:00,115,D,8362,1974,65,72,0.47,Wednesday
136,1974-09-02,home,NYY,W,3,2,65-71,5,-8.0,2:38:00,158,D,26121,1974,65,71,0.48,Monday
135,1974-09-02,home,NYY,L,1,3,64-71,5,-8.0,2:10:00,130,D,0,1974,64,71,0.47,Monday
134,1974-09-01,home,CAL,W,3,1,64-70,5,-9.0,2:09:00,129,D,11498,1974,64,70,0.48,Sunday
133,1974-08-31,home,CAL,W,6,5,63-70,5,-10.0,2:37:00,157,D,7520,1974,63,70,0.47,Saturday
132,1974-08-30,home,CAL,L,2,9,62-70,5,-11.0,2:20:00,140,N,7727,1974,62,70,0.47,Friday
131,1974-08-28,home,OAK,L,1,3,62-69,5,-10.5,2:23:00,143,N,11059,1974,62,69,0.47,Wednesday
130,1974-08-27,home,OAK,L,2,3,62-68,5,-10.5,2:27:00,147,N,14363,1974,62,68,0.48,Tuesday
129,1974-08-26,home,OAK,W,2,1,62-67,5,-9.5,2:26:00,146,N,9244,1974,62,67,0.48,Monday
128,1974-08-25,home,KCR,L,0,2,61-67,5,-10.0,2:08:00,128,D,12932,1974,61,67,0.48,Sunday
127,1974-08-24,home,KCR,L,0,4,61-66,5,-10.0,2:05:00,125,D,14433,1974,61,66,0.48,Saturday
126,1974-08-23,home,KCR,W,1,0,61-65,5,-10.0,3:27:00,207,N,15659,1974,61,65,0.48,Friday
125,1974-08-23,home,KCR,L,4,8,60-65,5,-10.0,2:54:00,174,N,0,1974,60,65,0.48,Friday
124,1974-08-21,home,OAK,W,5,3,60-64,5,-9.5,2:15:00,135,N,5240,1974,60,64,0.48,Wednesday
123,1974-08-20,home,OAK,L,1,7,59-64,5,-9.5,1:55:00,115,N,4737,1974,59,64,0.48,Tuesday
122,1974-08-19,home,OAK,W,1,0,59-63,5,-8.5,2:21:00,141,N,33213,1974,59,63,0.48,Monday
121,1974-08-18,home,CAL,W,5,2,58-63,5,-8.5,2:35:00,155,D,7008,1974,58,63,0.48,Sunday
120,1974-08-17,home,CAL,W,4,2,57-63,5,-8.5,2:03:00,123,N,7181,1974,57,63,0.48,Saturday
119,1974-08-16,home,CAL,L,3,7,56-63,5,-9.5,2:24:00,144,N,15397,1974,56,63,0.47,Friday
118,1974-08-14,home,TEX,W,6,5,56-62,5,-8.5,3:00:00,180,N,10769,1974,56,62,0.47,Wednesday
117,1974-08-13,home,TEX,W,5,1,55-62,5,-9.5,2:46:00,166,N,8449,1974,55,62,0.47,Tuesday
116,1974-08-12,home,TEX,W,5,1,54-62,6,-9.5,2:45:00,165,N,7649,1974,54,62,0.47,Monday
115,1974-08-11,home,KCR,L,2,5,53-62,6,-10.5,2:30:00,150,D,26483,1974,53,62,0.46,Sunday
114,1974-08-10,home,KCR,L,5,8,53-61,6,-9.5,2:24:00,144,N,24438,1974,53,61,0.46,Saturday
113,1974-08-09,home,KCR,L,3,13,53-60,6,-9.5,2:31:00,151,N,15064,1974,53,60,0.47,Friday
112,1974-08-08,home,BOS,W,5,3,53-59,6,-8.5,2:19:00,139,D,22339,1974,53,59,0.47,Thursday
111,1974-08-07,home,BOS,L,0,1,52-59,6,-9.5,2:29:00,149,N,14956,1974,52,59,0.47,Wednesday
109,1974-08-06,home,BOS,L,3,6,52-57,5,-8.5,2:31:00,151,N,0,1974,52,57,0.48,Tuesday
110,1974-08-06,home,BOS,L,0,6,52-58,5,-8.5,2:20:00,140,N,22756,1974,52,58,0.47,Tuesday
108,1974-08-04,home,CLE,W,8,3,52-56,6,-7.0,2:34:00,154,D,23618,1974,52,56,0.48,Sunday
107,1974-08-04,home,CLE,L,3,4,51-56,6,-7.0,2:39:00,159,D,0,1974,51,56,0.48,Sunday
106,1974-08-03,home,CLE,L,6,7,51-55,6,-6.5,2:55:00,175,D,16008,1974,51,55,0.48,Saturday
105,1974-08-02,home,DET,L,1,4,51-54,5,-6.5,2:07:00,127,N,22160,1974,51,54,0.49,Friday
104,1974-08-01,home,DET,L,0,2,51-53,4,-5.5,1:47:00,107,N,9010,1974,51,53,0.49,Thursday
103,1974-07-31,home,NYY,L,3,4,51-52,4,-4.5,2:44:00,164,N,14836,1974,51,52,0.5,Wednesday
101,1974-07-30,home,NYY,W,3,2,50-51,4,-3.5,2:35:00,155,N,0,1974,50,51,0.5,Tuesday
102,1974-07-30,home,NYY,W,4,0,51-51,4,-3.5,2:06:00,126,N,23010,1974,51,51,0.5,Tuesday
100,1974-07-29,home,BAL,L,2,6,49-51,5,-5.0,2:24:00,144,N,6030,1974,49,51,0.49,Monday
99,1974-07-28,home,BAL,W,4,0,49-50,5,-4.0,1:58:00,118,D,13286,1974,49,50,0.49,Sunday
98,1974-07-27,home,BAL,W,5,3,48-50,5,-4.0,2:30:00,150,N,26680,1974,48,50,0.49,Saturday
97,1974-07-26,home,NYY,L,1,5,47-50,5,-4.0,2:31:00,151,N,15701,1974,47,50,0.48,Friday
96,1974-07-25,home,NYY,L,0,1,47-49,5,-4.0,2:05:00,125,N,13893,1974,47,49,0.49,Thursday
95,1974-07-21,home,CHW,W,5,3,47-48,5,-3.0,2:04:00,124,D,36827,1974,47,48,0.49,Sunday
94,1974-07-21,home,CHW,L,2,6,46-48,5,-3.0,2:16:00,136,D,0,1974,46,48,0.49,Sunday
93,1974-07-20,home,CHW,L,2,3,46-47,5,-3.5,1:56:00,116,D,19145,1974,46,47,0.49,Saturday
92,1974-07-19,home,CHW,L,3,7,46-46,4,-3.5,2:19:00,139,N,19730,1974,46,46,0.5,Friday
91,1974-07-17,home,MIN,L,5,10,46-45,4,-3.0,2:28:00,148,N,11599,1974,46,45,0.51,Wednesday
90,1974-07-16,home,MIN,W,5,4,46-44,4,-2.0,2:30:00,150,N,10897,1974,46,44,0.51,Tuesday
89,1974-07-15,home,MIN,L,3,4,45-44,4,-3.0,2:46:00,166,N,12940,1974,45,44,0.51,Monday
88,1974-07-14,home,TEX,L,4,5,45-43,4,-3.0,3:07:00,187,D,22921,1974,45,43,0.51,Sunday
87,1974-07-14,home,TEX,W,9,3,45-42,4,-3.0,2:28:00,148,D,0,1974,45,42,0.52,Sunday
86,1974-07-13,home,TEX,W,5,2,44-42,4,-3.0,2:48:00,168,D,16508,1974,44,42,0.51,Saturday
85,1974-07-12,home,TEX,L,3,4,43-42,4,-3.5,2:15:00,135,N,23318,1974,43,42,0.51,Friday
84,1974-07-10,home,CHW,W,6,1,43-41,4,-3.5,2:15:00,135,N,15791,1974,43,41,0.51,Wednesday
83,1974-07-09,home,CHW,W,6,5,42-41,5,-3.5,2:39:00,159,N,16569,1974,42,41,0.51,Tuesday
82,1974-07-08,home,CHW,W,6,5,41-41,5,-4.5,3:34:00,214,N,13604,1974,41,41,0.5,Monday
81,1974-07-07,home,MIN,L,3,5,40-41,5,-5.5,3:50:00,230,D,17939,1974,40,41,0.49,Sunday
